,batch_size,best_val_error,best_val_loss,datasetname,minus_log_s1,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate
0,100,7.25405406952,2.6757675392,boston,1,baseline,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
1,100,9.7483549118,2.46865428427,boston,2,baseline,2,0.873333589641,adam,0.91504095396,0.000417904230942,0.01
2,100,8.45896530151,2.12070050447,boston,4,baseline,3,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01
3,10,11.7119455338,2.15373335023,boston,3,baseline,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
4,100,12.2365198135,2.04644040647,boston,4,baseline,8,0.936229536545,adam,0.901751392341,0.000131039182535,0.001
5,100,8.68936252594,2.14634972724,boston,2,baseline,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
6,100,2.8809633255,0.229186306829,boston,1,baselinedet,1,0.786832818146,adam,0.001848068271,0.000753448449041,0.01
7,100,2.21934390068,-0.0404030706571,boston,5,baselinedet,2,0.946767059908,rmsprop,0.00572619189748,2.84158543542e-05,0.001
8,10,2.1748611927,-0.0539722390797,boston,1,baselinedet,3,0.918582946022,rmsprop,0.00497246690821,2.81101565654e-05,0.01
9,10,3.27189278603,0.358940456225,boston,5,baselinedet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01
10,100,2.39512133598,0.0962514255358,boston,2,baselinedet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
11,100,2.2791287899,0.0397225514702,boston,6,baselinedet,20,0.922563906457,adadelta,0.969269280803,1e-08,0.1
12,100,6.43232250214,3.30189449476,boston,1,planarflow,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
13,100,7.75283670425,3.4164392499,boston,2,planarflow,2,0.883359400528,rmsprop,0.00767949743752,2.32648770225e-05,0.01
14,10,3.59218454361,3.23273691924,boston,2,planarflow,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
15,10,10.5540819168,3.5676608984,boston,3,planarflow,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
16,100,11.9889945984,3.71554045746,boston,2,planarflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
17,10,inf,,boston,2,planarflow,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
18,1,2.77737951279,1.75703227347,boston,2,planarflowdet,1,0.913693958598,adam,0.830267154644,0.000266786880691,0.001
19,100,8.51457118988,1.7171917791,boston,2,planarflowdet,2,0.883359400528,rmsprop,0.00767949743752,2.32648770225e-05,0.01
20,10,5.99764251709,1.78732847131,boston,1,planarflowdet,3,0.918582946022,rmsprop,0.00497246690821,2.81101565654e-05,0.01
21,10,3.54168748856,2.45663341232,boston,2,planarflowdet,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
22,100,33.0946731567,2.01687711909,boston,1,planarflowdet,8,0.890499733009,adadelta,0.940488548236,5e-05,0.1
23,1,14.0154266357,4.87053293422,boston,3,planarflowdet,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
24,100,6.42107343674,2.4436418494,boston,1,radialflow,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
25,100,9.03139781952,1.91737501333,boston,2,radialflow,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
26,10,3.89753198624,2.67231862425,boston,2,radialflow,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
27,10,10.2245073318,2.19121358567,boston,3,radialflow,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
28,100,8.6791229248,2.15187000104,boston,2,radialflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
29,10,inf,inf,boston,2,radialflow,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
30,100,2.91850852966,0.717193893764,boston,1,radialflowdet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
31,10,2.13955211639,0.137378087078,boston,1,radialflowdet,2,0.974542020391,adam,0.89080604545,0.000338544437162,0.001
32,10,2.43299388885,0.618636846542,boston,2,radialflowdet,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
33,10,3.28699302673,0.669145128001,boston,1,radialflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01
34,100,2.26647639275,0.331343021946,boston,1,radialflowdet,8,0.890499733009,adadelta,0.940488548236,5e-05,0.1
35,10,inf,16313.810377,boston,2,radialflowdet,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
36,1,3.80630636215,3.51947286855,boston,2,baseline,1,0.913693958598,adam,0.830267154644,0.000266786880691,0.001
37,100,3.61821293831,3.21231817163,boston,2,baseline,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
38,10,3.86010551453,5.04798181506,boston,1,baseline,3,0.918582946022,rmsprop,0.00497246690821,2.81101565654e-05,0.01
39,10,3.38699650764,4.11846745118,boston,2,baseline,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
40,100,4.26626157761,3.09665431147,boston,1,baseline,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
41,1,3.45300173759,3.41855943099,boston,2,baseline,20,0.977156756777,adam,0.00952030623784,0.000280603668193,0.0001
42,100,2.8809633255,0.229186306829,boston,1,baselinedet,1,0.786832818146,adam,0.001848068271,0.000753448449041,0.01
43,100,2.21934390068,-0.0404030706571,boston,5,baselinedet,2,0.946767059908,rmsprop,0.00572619189748,2.84158543542e-05,0.001
44,10,2.1748611927,-0.0539722390797,boston,1,baselinedet,3,0.918582946022,rmsprop,0.00497246690821,2.81101565654e-05,0.01
45,10,3.26218414307,0.473935832148,boston,2,baselinedet,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
46,100,2.39512133598,0.0962514255358,boston,2,baselinedet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
47,100,2.2791287899,0.0397225514702,boston,6,baselinedet,20,0.922563906457,adadelta,0.969269280803,1e-08,0.1
48,1,3.79506254196,3.92830335921,boston,2,planarflow,1,0.913693958598,adam,0.830267154644,0.000266786880691,0.001
49,10,3.5989420414,4.38186602662,boston,1,planarflow,2,0.974542020391,adam,0.89080604545,0.000338544437162,0.001
50,10,3.07006502151,4.15044905621,boston,2,planarflow,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
51,10,4.00755310059,5.67755415543,boston,2,planarflow,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
52,100,5.99261808395,4.34681734831,boston,2,planarflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
53,10,inf,,boston,2,planarflow,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
54,1,2.77737951279,1.75703227347,boston,2,planarflowdet,1,0.913693958598,adam,0.830267154644,0.000266786880691,0.001
55,10,3.74021840096,1.83208523626,boston,2,planarflowdet,2,0.820702407323,adam,0.800321862512,0.000249113095575,0.01
56,10,4.34683561325,2.91212941598,boston,1,planarflowdet,3,0.918582946022,rmsprop,0.00497246690821,2.81101565654e-05,0.01
57,10,3.54168748856,2.45663341232,boston,2,planarflowdet,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
58,10,12.9519948959,6.51562439186,boston,3,planarflowdet,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01
59,1,14.0154266357,4.87053293422,boston,3,planarflowdet,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
60,1,3.87479996681,5.01198105068,boston,2,radialflow,1,0.913693958598,adam,0.830267154644,0.000266786880691,0.001
61,10,3.54966783524,3.95989298068,boston,2,radialflow,2,0.820702407323,adam,0.800321862512,0.000249113095575,0.01
62,10,3.4445207119,5.01407468275,boston,1,radialflow,3,0.918582946022,rmsprop,0.00497246690821,2.81101565654e-05,0.01
63,10,3.25663352013,3.54882764588,boston,2,radialflow,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
64,100,3.45403504372,2.72208416823,boston,2,radialflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01
65,10,inf,inf,boston,2,radialflow,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
66,1,2.5492503643,0.993756121483,boston,2,radialflowdet,1,0.913693958598,adam,0.830267154644,0.000266786880691,0.001
67,10,2.13955211639,0.137378087078,boston,1,radialflowdet,2,0.974542020391,adam,0.89080604545,0.000338544437162,0.001
68,10,2.43299388885,0.618636846542,boston,2,radialflowdet,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
69,10,2.41144275665,0.960597577302,boston,3,radialflowdet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
70,100,2.26179718971,0.544744074129,boston,1,radialflowdet,8,0.983554581891,rmsprop,0.911135788228,3.3078966447e-05,0.001
71,10,inf,16313.810377,boston,2,radialflowdet,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
72,100,16.652387619,1.53641846359,concrete,3,baseline,1,0.976976182591,adam,0.881366446805,0.000108207600393,0.001
73,100,17.5058727264,1.98336102886,concrete,5,baseline,2,0.946767059908,rmsprop,0.00572619189748,2.84158543542e-05,0.001
74,100,12.0115776062,1.62535497194,concrete,2,baseline,3,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
75,10,14.6441965103,1.6433316576,concrete,4,baseline,4,0.9571221857,adam,0.000989787180952,0.000180066970598,0.001
76,10,14.2844495773,1.5758634998,concrete,4,baseline,8,0.9571221857,adam,0.000989787180952,0.000180066970598,0.001
77,10,10.7702722549,1.83267810781,concrete,1,baseline,20,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
78,100,4.49786138535,0.06632115764,concrete,1,baselinedet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
79,100,4.50289344788,0.0439126568456,concrete,7,baselinedet,2,0.921663516074,adam,0.00617429367165,0.000201860816376,0.01
80,100,4.07477474213,0.000717840848431,concrete,5,baselinedet,3,0.863813152227,adam,0.00259801689953,0.000569682746779,0.01
81,10,5.11534976959,0.186704512565,concrete,3,baselinedet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
82,100,4.05184602737,-0.0186656764759,concrete,6,baselinedet,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01
83,100,4.15916490555,0.0734045838797,concrete,6,baselinedet,20,0.922563906457,adadelta,0.969269280803,1e-08,0.1
84,10,10.6762313843,1.93571083862,concrete,2,planarflow,1,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
85,100,17.4580192566,1.90490650464,concrete,7,planarflow,2,0.921663516074,adam,0.00617429367165,0.000201860816376,0.01
86,10,11.1512784958,1.9982185227,concrete,2,planarflow,3,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
87,10,14.2467823029,2.51500649948,concrete,3,planarflow,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
88,10,13.3742218018,3.03683482618,concrete,3,planarflow,8,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
89,100,inf,,concrete,7,planarflow,20,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
90,10,7.66252279282,1.26318695725,concrete,2,planarflowdet,1,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
91,100,6.1698012352,1.01701891089,concrete,5,planarflowdet,2,0.946767059908,rmsprop,0.00572619189748,2.84158543542e-05,0.001
92,100,17.0290470123,1.18330369628,concrete,1,planarflowdet,3,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
93,10,16.2845611572,2.07517967087,concrete,3,planarflowdet,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
94,100,686.644714355,1.45221524256,concrete,1,planarflowdet,8,0.983554581891,rmsprop,0.911135788228,3.3078966447e-05,0.001
95,1,17.0767650604,2.08454100906,concrete,3,planarflowdet,20,0.855134467683,adam,0.814380764219,0.000457278354118,0.001
96,100,28.2976951599,12.1695703364,concrete,1,radialflow,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
97,1,35.0829467773,10.1592799576,concrete,1,radialflow,2,0.802574888412,adam,0.00170506295622,0.00016183592544,0.0001
98,100,48.7499198914,23.1425105231,concrete,1,radialflow,3,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
99,10,41.5617790222,12.7361957605,concrete,1,radialflow,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
100,10,14.5635900497,1.41082609352,concrete,3,radialflow,8,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
101,100,inf,inf,concrete,7,radialflow,20,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
102,100,4.31778717041,0.17556977945,concrete,1,radialflowdet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
103,1,4.55266618729,0.249578824607,concrete,1,radialflowdet,2,0.802574888412,adam,0.00170506295622,0.00016183592544,0.0001
104,10,4.32997274399,0.19324380608,concrete,2,radialflowdet,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
105,10,4.61131048203,0.415910939589,concrete,3,radialflowdet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
106,100,4.531062603,0.301163000018,concrete,1,radialflowdet,8,0.983554581891,rmsprop,0.911135788228,3.3078966447e-05,0.001
107,100,inf,10503351.4301,concrete,7,radialflowdet,20,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
108,10,6.74079418182,2.8176800991,concrete,2,baseline,1,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
109,10,6.1524348259,2.26164087002,concrete,1,baseline,2,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
110,10,7.12421798706,3.08493242982,concrete,2,baseline,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
111,10,6.29659795761,4.23019097441,concrete,1,baseline,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
112,10,6.29090452194,2.90867324884,concrete,1,baseline,8,0.9571221857,adam,0.000989787180952,0.000180066970598,0.001
113,10,6.63257217407,15.5456741634,concrete,3,baseline,20,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
114,100,4.19321393967,0.0782346674191,concrete,1,baselinedet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
115,10,4.42222452164,0.0901180390389,concrete,2,baselinedet,2,0.820702407323,adam,0.800321862512,0.000249113095575,0.01
116,100,4.07477474213,0.000717840848431,concrete,5,baselinedet,3,0.863813152227,adam,0.00259801689953,0.000569682746779,0.01
117,10,5.11534976959,0.186704512565,concrete,3,baselinedet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
118,100,4.05184602737,-0.0186656764759,concrete,6,baselinedet,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01
119,100,4.15916490555,0.0734045838797,concrete,6,baselinedet,20,0.922563906457,adadelta,0.969269280803,1e-08,0.1
120,10,6.57920837402,2.82173349524,concrete,2,planarflow,1,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
121,10,6.42241621017,4.59328906425,concrete,2,planarflow,2,0.9571221857,adam,0.000989787180952,0.000180066970598,0.001
122,10,6.00587368011,4.34761584702,concrete,1,planarflow,3,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
123,10,6.77919006348,4.50677946904,concrete,1,planarflow,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
124,10,8.22574615479,5.67946370443,concrete,1,planarflow,8,0.9571221857,adam,0.000989787180952,0.000180066970598,0.001
125,100,inf,,concrete,7,planarflow,20,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
126,100,5.27206516266,2.16492192668,concrete,4,planarflowdet,1,0.839135697624,rmsprop,0.00487890796763,2.20452475624e-05,0.01
127,10,5.68022155762,1.27114319203,concrete,2,planarflowdet,2,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
128,100,4.72599411011,789.794203927,concrete,7,planarflowdet,3,0.879320182305,adadelta,0.969514489555,1e-08,0.1
129,10,7.53171539307,2.60188629807,concrete,1,planarflowdet,4,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
130,100,11.1331758499,17.4643072969,concrete,2,planarflowdet,8,0.803889937534,adam,0.800655605607,0.000108455335866,0.1
131,10,10.2218570709,2.21424307874,concrete,3,planarflowdet,20,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001
132,100,19.6764431,1574.32078201,concrete,4,radialflow,1,0.839135697624,rmsprop,0.00487890796763,2.20452475624e-05,0.01
133,10,18.9317054749,46.1463368898,concrete,2,radialflow,2,0.820702407323,adam,0.800321862512,0.000249113095575,0.01
134,100,21.958442688,12184.4481118,concrete,5,radialflow,3,0.863813152227,adam,0.00259801689953,0.000569682746779,0.01
135,10,22.3643760681,285.035875612,concrete,3,radialflow,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
136,100,8.95202350616,3.18886735877,concrete,1,radialflow,8,0.983554581891,rmsprop,0.911135788228,3.3078966447e-05,0.001
137,100,inf,inf,concrete,7,radialflow,20,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
138,100,4.29987239838,0.176457928842,concrete,1,radialflowdet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
139,100,4.37346220016,0.343127696745,concrete,2,radialflowdet,2,0.883359400528,rmsprop,0.00767949743752,2.32648770225e-05,0.01
140,100,4.09136390686,787.314342921,concrete,7,radialflowdet,3,0.879320182305,adadelta,0.969514489555,1e-08,0.1
141,10,4.61131048203,0.415910939589,concrete,3,radialflowdet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
142,100,4.531062603,0.301163000018,concrete,1,radialflowdet,8,0.983554581891,rmsprop,0.911135788228,3.3078966447e-05,0.001
143,100,inf,10503351.4301,concrete,7,radialflowdet,20,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
144,100,12.5818443298,1.77309741066,energy,3,baseline,1,0.976976182591,adam,0.881366446805,0.000108207600393,0.001
145,10,9.69475460052,2.03289291382,energy,4,baseline,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
146,100,9.33542251587,1.75084439959,energy,5,baseline,3,0.863813152227,adam,0.00259801689953,0.000569682746779,0.01
147,10,12.6202917099,2.49899175735,energy,1,baseline,4,0.934125143078,adam,0.0076485879586,0.00031200898421,0.1
148,100,9.82866096497,1.70836219788,energy,4,baseline,8,0.936229536545,adam,0.901751392341,0.000131039182535,0.001
149,1,4.01374912262,1.63059436253,energy,2,baseline,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
150,100,0.482999145985,-1.66573791504,energy,6,baselinedet,1,0.890482965686,adadelta,0.981279975932,1e-08,0.1
151,10,0.631696522236,-1.25237186977,energy,3,baselinedet,2,0.858941739876,adam,0.923833365374,0.000105342291517,0.01
152,100,0.664392709732,-1.20396347046,energy,1,baselinedet,3,0.957318230759,rmsprop,0.955480723872,1.01791199709e-05,0.0001
153,10,1.05830097198,-0.648490360805,energy,3,baselinedet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
154,100,0.608076334,-1.38258863177,energy,1,baselinedet,8,0.890499733009,adadelta,0.940488548236,5e-05,0.1
155,100,0.778778970242,-1.0671875,energy,3,baselinedet,20,0.817721723127,adam,0.0041058849276,0.000435409298522,0.01
156,100,5.48702096939,2.521228209,energy,1,planarflow,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
157,1,3.45833897591,2.22987462907,energy,2,planarflow,2,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
158,100,9.08061122894,2.10325654166,energy,6,planarflow,3,0.902803170457,adam,0.83318129892,0.000310746581844,0.01
159,1,10.8234214783,3.4358863104,energy,4,planarflow,4,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
160,1,5.65012598038,2.35238400414,energy,1,planarflow,8,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
161,1,inf,,energy,2,planarflow,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
162,100,2.01491928101,0.955404454186,energy,1,planarflowdet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
163,10,0.96217828989,0.624296210153,energy,4,planarflowdet,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
164,10,3.0119202137,0.650120249816,energy,2,planarflowdet,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
165,1,2.96597599983,0.957021631513,energy,1,planarflowdet,4,0.937634133118,adam,0.00227692082866,0.000164599198995,0.001
166,100,5.01819705963,0.769702441692,energy,1,planarflowdet,8,0.890499733009,adadelta,0.940488548236,5e-05,0.1
167,1,45.8860054016,17.4222424825,energy,1,planarflowdet,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
168,100,47.8904571533,49.4091115195,energy,1,radialflow,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
169,10,16.1900062561,14.7237468466,energy,1,radialflow,2,0.974542020391,adam,0.89080604545,0.000338544437162,0.001
170,100,16.5748500824,5.89357052806,energy,1,radialflow,3,0.957318230759,rmsprop,0.955480723872,1.01791199709e-05,0.0001
171,1,14.1834354401,5.8983028762,energy,1,radialflow,4,0.937634133118,adam,0.00227692082866,0.000164599198995,0.001
172,1,3.90074372292,1.87348207516,energy,1,radialflow,8,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
173,1,inf,inf,energy,2,radialflow,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
174,100,0.621614217758,-0.949951244536,energy,1,radialflowdet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
175,10,0.487097084522,-1.57457700457,energy,1,radialflowdet,2,0.974542020391,adam,0.89080604545,0.000338544437162,0.001
176,1,0.429805189371,-1.63544751122,energy,1,radialflowdet,3,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
177,10,0.598878264427,-1.01245180402,energy,3,radialflowdet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
